도로명주소,지번주소,위도,경도,상태
서울특별시 중구 을지로 234,서울특별시 중구 을지로5가 72-1,37.5664750388,127.0039420695,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중구 퇴계로 375-1,서울특별시 중구 신당동 250-10,37.5652684538,127.0133763568,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중구 동호로5길 15,서울특별시 중구 신당동 844-3,37.5521442775,127.0123820902,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중구 다산로 248,서울특별시 중구 신당동 100-1,37.5650442671,127.0163849636,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중구 동호로 261,서울특별시 중구 장충동2가 196-1,37.5587633776,127.0048020452,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중구 퇴계로 178,서울특별시 중구 필동1가 20-5,37.5608773647,126.9915846105,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중구 충무로 56-1,서울특별시 중구 을지로3가 291-50,37.5661815238,126.9928483417,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 종로17길 4,서울특별시 종로구 종로2가 39-3,37.5705022157,126.9889228526,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 삼일대로 386,서울특별시 종로구 관철동 5-10,37.5689505293,126.9880791095,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 세검정로 226,서울특별시 종로구 홍지동 95-1,37.6000216905,126.9584633729,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 평창문화로 46,서울특별시 종로구 평창동 273-3,37.6052486740,126.9666272877,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 삼청로 66,서울특별시 종로구 소격동 1-1,37.5814096566,126.9811225837,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 효자로 9,서울특별시 종로구 통의동 35-66,37.5767708880,126.9740067438,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 자하문로 92-1,서울특별시 종로구 궁정동 12-1,37.5842278806,126.9705838683,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 자하문로17길 24,서울특별시 종로구 옥인동 45-16,37.5814734297,126.9694263329,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구  송월길 167(교북동 10-38),,,,변환실패(주소미존재)
서울특별시 중구 세종대로 141,서울특별시 중구 태평로1가 68-1,37.5689472465,126.9764296590,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 경희궁길 6-3,서울특별시 종로구 신문로1가 58-16,37.5707552628,126.9722339132,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 사직로9길 1,서울특별시 종로구 사직동 1-28,37.5760686673,126.9688539164,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 삼봉로 33,서울특별시 종로구 수송동 146-2,37.5725887471,126.9790189639,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중구 다동길 11,서울특별시 중구 다동 46,37.5680079853,126.9799914393,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중구 통일로 13,서울특별시 중구 봉래동2가 122-17,37.5568085815,126.9715661479,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중구 명동길 30,서울특별시 중구 명동2가 50-13,37.5635895671,126.9839684942,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중구 남대문시장4길 28-16,서울특별시 중구 남창동 51-1,37.5590136645,126.9763919309,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중구 중림로 36,서울특별시 중구 중림동 203,37.5578893434,126.9671156157,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중구 퇴계로6길 3-10,서울특별시 중구 회현동1가 194-27,37.5580939371,126.9788230444,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중구 서소문로 131-1,서울특별시 중구 서소문동 24,37.5638265102,126.9754669274,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 서대문구 독립문로 25-1,서울특별시 서대문구 옥천동 57,37.5698843736,126.9611092995,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 서대문구 신촌역로 22,서울특별시 서대문구 대현동 27-14,37.5585525829,126.9430098717,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 서대문구 세검정로1길 112,서울특별시 서대문구 홍은동 48-461,37.5952477134,126.9464239731,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 서대문구 연희로25길 73,서울특별시 서대문구 연희동 86-12,37.5702755077,126.9328490908,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 서대문구 가재울로4길 51,서울특별시 서대문구 남가좌동 336-21,37.5760408583,126.9240383023,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 서대문구 증가로 244,서울특별시 서대문구 북가좌동 333-5,37.5829930550,126.9128774089,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 서대문구 통일로 441-1,서울특별시 서대문구 홍제동 173-1,37.5881707286,126.9445532828,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 서대문구 연희로 298,서울특별시 서대문구 홍은동 424,37.5836053290,126.9362111812,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 창경궁로 279,서울특별시 종로구 혜화동 92-1,37.5861083962,127.0014075480,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 이화장2길 33,서울특별시 종로구 동숭동 201-10,37.5786117133,127.0060453291,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 성균관로 78,서울특별시 종로구 명륜1가 27-55,37.5892784329,126.9975992995,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 지봉로13길 20-12,서울특별시 종로구 창신동 23-875,37.5784936918,127.0135419686,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 종로58가길 19,서울특별시 종로구 숭인동 242-7,37.5726963187,127.0171174556,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 창신길 98,서울특별시 종로구 창신동 594-8,37.5759851806,127.0105262010,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 동호로 407,서울특별시 종로구 종로5가 138-1,37.5707367126,127.0016317274,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 종로구 종로41나길 24-6,서울특별시 종로구 종로6가 238-16,37.5729430706,127.0048664606,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 용산구 백범로 329,서울특별시 용산구 원효로1가 26-15,37.5389037956,126.9650121544,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 용산구 후암로16나길 17,서울특별시 용산구 후암동 244-103,37.5491590392,126.9784794043,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 용산구 이태원로 184,서울특별시 용산구 이태원동 127-10,37.5343115810,126.9944036863,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 용산구 대사관로34길 53,서울특별시 용산구 한남동 622-3,37.5310848781,127.0063425474,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 용산구 보광로 25-1,서울특별시 용산구 보광동 223-5,37.5267145592,127.0002436818,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 용산구 한강대로 198-2,서울특별시 용산구 한강로1가 16,37.5361101058,126.9747084404,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 용산구 서빙고로 67,서울특별시 용산구 용산동5가 24,37.5248628078,126.9704127278,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 성북구 아리랑로5길 54,서울특별시 성북구 돈암동 630-5,37.5973225816,127.0124033876,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 성북구 지봉로21길 45,서울특별시 성북구 보문동3가 1-1,37.5867215345,127.0165983797,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 성북구 삼양로13길 51,서울특별시 성북구 길음동 1281-5,37.6106064012,127.0192656764,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 성북구 솔샘로 111,서울특별시 성북구 정릉동 239-3,37.6160729681,127.0086028302,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 성북구 정릉로26길 6,서울특별시 성북구 정릉동 966-174,37.6045609452,127.0107203692,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
